timestamp_utc,equity,cash,holdings_value,pnl,pnl_pct,fees_paid
2026-06-15T08:00:08.638315+00:00,497.6,100.0,397.6,-2.4,-0.48,2.4
2026-06-16T08:00:06.541886+00:00,527.46,110.67,416.78,27.46,5.49,2.46
2026-06-17T14:22:58.993486+00:00,520.87,110.0,410.87,20.87,4.17,3.42
2026-06-18T08:00:04.390991+00:00,525.46,105.25,420.2,25.46,5.09,4.36
2026-06-21T06:51:20.503310+00:00,506.91,107.82,399.09,6.91,1.38,6.2
2026-06-21T07:52:44.991726+00:00,510.57,107.82,402.75,10.57,2.11,6.2
2026-06-21T07:54:35.141071+00:00,510.42,107.82,402.59,10.42,2.08,6.2
2026-06-21T15:20:32.809640+00:00,501.16,101.64,399.52,1.16,0.23,7.12
2026-06-21T16:57:52.772291+00:00,495.71,101.64,394.07,-4.29,-0.86,7.12
2026-06-21T20:55:06.103931+00:00,496.58,101.64,394.94,-3.42,-0.68,7.12
2026-06-22T19:59:04.562561+00:00,519.6,122.64,396.96,19.6,3.92,7.93
2026-06-22T21:25:24.590315+00:00,515.8,116.28,399.52,15.8,3.16,8.86
2026-06-22T22:25:53.426699+00:00,516.91,116.28,400.63,16.91,3.38,8.86
2026-06-23T17:06:05.729411+00:00,495.11,120.99,374.12,-4.89,-0.98,10.66
2026-06-23T17:32:01.215578+00:00,495.0,120.99,374.01,-5.0,-1.0,10.66
2026-06-23T21:52:52.436591+00:00,495.81,120.99,374.81,-4.19,-0.84,10.66
2026-06-24T16:35:50.653854+00:00,513.48,262.14,251.35,13.48,2.7,11.51
2026-06-24T18:13:14.602235+00:00,501.84,251.5,250.34,1.84,0.37,11.58
2026-06-24T21:13:56.726292+00:00,498.5,251.5,247.0,-1.5,-0.3,11.58
2026-06-25T16:39:38.764623+00:00,518.35,268.23,250.13,18.35,3.67,11.68
2026-06-25T18:35:50.871510+00:00,518.3,268.23,250.08,18.3,3.66,11.68
2026-06-25T21:19:21.034965+00:00,514.75,268.23,246.53,14.75,2.95,11.68
2026-06-26T16:29:44.893868+00:00,523.97,268.23,255.75,23.97,4.79,11.68
2026-06-26T17:22:22.084770+00:00,522.06,268.23,253.83,22.06,4.41,11.68
2026-06-26T21:10:02.017482+00:00,520.23,268.23,252.0,20.23,4.05,11.68
2026-06-27T12:14:59.327745+00:00,510.19,268.23,241.97,10.19,2.04,11.68
2026-06-27T15:50:20.232028+00:00,496.3,247.01,249.29,-3.7,-0.74,11.8
2026-06-27T20:17:53.609306+00:00,503.6,247.01,256.59,3.6,0.72,11.8
2026-06-28T12:20:12.730243+00:00,506.76,247.01,259.75,6.76,1.35,11.8
2026-06-28T15:53:50.290643+00:00,511.07,247.01,264.06,11.07,2.21,11.8
2026-06-28T20:38:31.585461+00:00,506.84,247.01,259.83,6.84,1.37,11.8
2026-06-29T17:49:08.157737+00:00,497.35,47.01,450.34,-2.65,-0.53,13.0
